id,distance,weight
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.OptionalSerializerExtension method=getSerializer methodDesc=(Ljavax/lang/model/type/TypeMirror;Lcom/google/auto/value/extension/serializable/serializer/interfaces/SerializerFactory;Ljavax/annotation/processing/ProcessingEnvironment;)Ljava/util/Optional;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],156,15
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.GwtCompatibility method=<init> methodDesc=(Ljavax/lang/model/element/TypeElement;)V] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],70,20
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.OptionalSerializerExtension method=getSerializer methodDesc=(Ljavax/lang/model/type/TypeMirror;Lcom/google/auto/value/extension/serializable/serializer/interfaces/SerializerFactory;Ljavax/annotation/processing/ProcessingEnvironment;)Ljava/util/Optional;] indexes=[27] mutator=org.pitest.mutationtest.engine.gregor.mutators.ConstructorCallMutator],204,3
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoAnnotationProcessor method=getParameters methodDesc=(Ljavax/lang/model/element/TypeElement;Ljavax/lang/model/element/ExecutableElement;Ljava/util/Map;)Lcom/google/common/collect/ImmutableMap;] indexes=[40] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],369,3
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.Nullables method=lambda$nullableIn$1 methodDesc=(Ljavax/lang/model/element/AnnotationMirror;)Z] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],57,41
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension$Generator$MethodOverrider method=<init> methodDesc=(Lcom/google/auto/value/extension/memoized/processor/MemoizeExtension$Generator;Ljavax/lang/model/element/ExecutableElement;)V] indexes=[44] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],129,14
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.TypeEncoder$TypeRewriter method=<init> methodDesc=(Ljava/lang/String;Ljavax/lang/model/util/Elements;Ljavax/lang/model/util/Types;Ljava/lang/String;Ljavax/lang/model/type/TypeMirror;)V] indexes=[33] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator],103,21
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.ImmutableMapSerializerExtension method=isImmutableMap methodDesc=(Ljavax/lang/model/type/TypeMirror;)Z] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],88,38
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.serializable.serializer.impl.OptionalSerializerExtension method=getContainedType methodDesc=(Ljavax/lang/model/type/TypeMirror;)Ljavax/lang/model/type/TypeMirror;] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],125,30
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoAnnotationProcessor method=getGeneratedTypeName methodDesc=()Ljava/lang/String;] indexes=[12] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],87,16
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoValueProcessor method=prefixedGettersIn methodDesc=(Ljava/lang/Iterable;)Lcom/google/common/collect/ImmutableSet;] indexes=[29] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],59,18
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.Reformatter method=fixup methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[161] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],15,47
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AnnotationOutput$SourceFormVisitor method=visitArray methodDesc=(Ljava/util/List;Ljava/lang/StringBuilder;)Ljava/lang/Void;] indexes=[49] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],32,13
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.Reformatter method=fixup methodDesc=(Ljava/lang/String;)Ljava/lang/String;] indexes=[222] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],72,28
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.SimpleServiceLoader method=providerClassesFromUrl methodDesc=(Ljava/net/URL;Ljava/lang/Class;Ljava/lang/ClassLoader;Ljava/util/Optional;)Lcom/google/common/collect/ImmutableSet;] indexes=[219] mutator=org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator],160,8
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension$Generator method=generate methodDesc=()Ljava/lang/String;] indexes=[95] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],120,19
MutationIdentifier [location=Location [clazz=com.google.auto.value.extension.memoized.processor.MemoizeExtension$Generator$MethodOverrider method=buildCacheField methodDesc=(Lcom/squareup/javapoet/TypeName;Ljava/lang/String;)Lcom/squareup/javapoet/FieldSpec;] indexes=[5] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],8,91
MutationIdentifier [location=Location [clazz=com.google.auto.value.processor.AutoAnnotationProcessor method=processMethod methodDesc=(Ljavax/lang/model/element/ExecutableElement;)V] indexes=[170] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],48,26
