id,cluster_id
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],37
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR2Mutator],14
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator],18
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR5Mutator],0
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR3Mutator],22
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[71] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],21
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR1Mutator],11
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR4Mutator],9
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[70] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],14
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[80] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.AOD2Mutator],32
MutationIdentifier [location=Location [clazz=com.google.gson.internal.bind.util.ISO8601Utils method=format methodDesc=(Ljava/util/Date;ZLjava/util/TimeZone;)Ljava/lang/String;] indexes=[77] mutator=org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator],1
