id,distance,weight
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVFormat method=withCommentMarker methodDesc=(C)Lorg/apache/commons/csv/CSVFormat;] indexes=[6] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],117,21
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.CSVParser method=nextRecord methodDesc=()Lorg/apache/commons/csv/CSVRecord;] indexes=[174] mutator=org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator],4,48
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getLastChar methodDesc=()I] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI1Mutator],114,8
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=getPosition methodDesc=()J] indexes=[4] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.UOI4Mutator],115,14
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=lookAhead methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator],42,5
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[9] mutator=org.pitest.mutationtest.engine.gregor.mutators.rv.CRCR6Mutator],31,50
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[10] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],431,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[30] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],102,2
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[22] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],282,1
MutationIdentifier [location=Location [clazz=org.apache.commons.csv.ExtendedBufferedReader method=read methodDesc=()I] indexes=[26] mutator=org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE],192,1
